City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
518,rujewa,-8.7,34.3833,18.26,86,99,1.6,TZ,1672967809
519,maceio,-9.6658,-35.7353,24.69,88,0,2.57,BR,1672967809
520,taman,45.2117,36.7161,9.24,88,100,11.39,RU,1672967580
521,am timan,11.0297,20.2827,22.17,35,13,2.83,TD,1672967810
522,totskoye,52.5248,52.7623,-4.35,95,100,5.89,RU,1672967810
523,camopi,3.1655,-52.3158,21.05,100,69,1.02,GF,1672967811
524,tapa,59.2606,25.9586,-7.92,81,100,3.47,EE,1672967811
525,montanha,-18.1269,-40.3633,23.19,95,100,2.51,BR,1672967779
526,russellville,35.2784,-93.1338,7.08,55,0,2.06,US,1672967812
527,kollam,8.8833,76.6,23.25,81,7,4.0,IN,1672967812
528,aykhal,66.0,111.5,-40.56,100,95,1.99,RU,1672967813
529,makat,47.6469,53.3463,-0.82,74,78,4.87,KZ,1672967813
530,kodinsk,58.6881,99.1844,-10.89,98,100,0.51,RU,1672967814
531,port moresby,-9.4431,147.1797,28.32,68,100,5.99,PG,1672967619
532,amalapuram,16.5833,82.0167,19.92,83,4,2.34,IN,1672967698
533,doha,25.2867,51.5333,16.99,91,100,4.63,QA,1672967815
534,mahibadhoo,3.7833,72.9667,26.98,71,0,6.67,MV,1672967816
535,shelopugino,51.6514,117.5599,-29.9,100,56,1.08,RU,1672967816
536,qandala,11.472,49.8728,23.33,79,11,2.5,SO,1672967817
537,kirovskiy,45.0917,133.5136,-15.96,88,63,1.02,RU,1672967817
538,mangai,-4.05,19.5333,20.42,99,100,1.56,CD,1672967818
539,pakala,13.4667,79.1167,21.23,89,94,1.29,IN,1672967818
540,the valley,18.217,-63.0578,26.17,78,18,9.81,AI,1672968036
541,mankono,8.0586,-6.1897,22.89,26,100,0.89,CI,1672967819
542,puerto madryn,-42.7692,-65.0385,25.13,40,99,8.6,AR,1672967629
543,ixtapa,20.7,-105.2,24.57,83,0,0.0,MX,1672967820
544,tromso,69.6496,18.957,-8.68,79,43,2.57,NO,1672967553
545,gambo,4.6482,22.2633,20.2,48,92,1.47,CF,1672967820
546,mikhaylovka,50.06,43.2379,1.55,99,100,5.11,RU,1672967821
547,la grande,45.3246,-118.0877,4.99,75,100,3.37,US,1672967821
548,mizdah,31.4451,12.9801,8.89,55,0,1.18,LY,1672967822
549,vredendal,-31.6683,18.5012,18.52,48,0,4.67,ZA,1672967822
550,luwuk,-0.9516,122.7875,28.17,71,100,0.6,ID,1672968039
551,college,64.8569,-147.8028,-18.03,79,20,0.0,US,1672967444
552,larsnes,62.2028,5.5773,5.33,73,100,5.27,NO,1672967823
553,cayenne,4.9333,-52.3333,24.02,94,100,1.03,GF,1672967824
554,rocha,-34.4833,-54.3333,15.72,83,95,2.82,UY,1672967546
